name|easting|northing|petcount
Chris Hemsworth|-122.0891447521042|37.38306796320479|1
Tom Hiddleston|-122.11155012589451|37.382287439185895|0
Cate Blanchett|-122.08527416024843|37.419265308573486|5
Idris Elba|-122.11025160902761|37.39175227083283|4
Jeff Goldblum|-122.07792390001053|37.42209824404171|3
Tessa Thompson|-122.11139052151503|37.41433739737047|2
Karl Urban|-122.06411508588448|37.37364579522174|2
Mark Ruffalo|-122.05739344543935|37.41143691001486|2
Anthony Hopkins|-122.08801024942166|37.376988430865595|5
Benedict Cumberbatch|-122.06681882213499|37.39051567552893|1
Taika Waititi|-122.10187385204671|37.417591286742194|0
Rachel House|-122.0974821911463|37.42284253858143|3
Clancy Brown|-122.09675292957013|37.39141180448751|0
Tadanobu Asano|-122.08878043062434|37.42488872379658|4
Ray Stevenson|-122.08746059144157|37.38818735577217|0
Zachary Levi|-122.08339977586945|37.40613759359945|1
Georgia Blizzard|-122.05913500851376|37.39712285383884|3
Amali Golden|-122.1026675777464|37.37202182613192|4
Luke Hemsworth|-122.07462871902285|37.41439261778692|3
Sam Neill|-122.09212841630473|37.418946335588544|5
Charlotte Nicdao|-122.07346469554523|37.424755240041094|2
Ash Ricardo|-122.07434775998999|37.3927398286697|5
Shalom Brune-Franklin|-122.10920627031182|37.39763343769316|3
Taylor Hemsworth|-122.11036568645476|37.41904812000811|2
Cohen Holloway|-122.10679177524992|37.4181179300499|5
Alia Seror-O'Neill|-122.07044294642374|37.40561100542987|5
Sophia Laryea|-122.07172871582125|37.39613671546394|0
Steven Oliver|-122.07310095128729|37.420813368751595|0
Hamish Parkinson|-122.05811374210884|37.38261933288431|5
Jasper Bagg|-122.07508760990757|37.407000059816156|2
Sky Castanho|-122.09123230366623|37.4105503935066|0
Shari Sebbens|-122.07632095420685|37.39566754496695|1
Richard Green|-122.09844366049153|37.39479794819197|4
Sol Castanho|-122.10472569113838|37.40772895753552|2
Jet Tranter|-122.0730861146052|37.36937779465319|1
Samantha Hopper|-122.07436017870292|37.40359069630113|1
Eloise Winestock|-122.07566249890586|37.404390829345274|4
Rob Mayes|-122.09725943068376|37.4116485528836|2
Jordan Abbey-Young|-122.09413068062308|37.38499958170702|5
Bashir Ally|-122.08133237674409|37.40232140057955|0
Martin Sta Ana|-122.10410513099713|37.4228074589329|0
Brenton Ashe|-122.10515433441778|37.38893641141407|5
David James Austin|-122.11161565914315|37.38767930764619|3
Sydney Shea Barker|-122.0779930032919|37.385077279222685|4
Donnie Baxter|-122.10386512387574|37.400153450638875|2
Lexy Bernardo|-122.06772474025482|37.3994287190256|3
Hunter Stratton Boland|-122.06825817737764|37.38580495684555|5
Gabby Carbon|-122.10284475262638|37.3792103340012|4
Greta Carew-Johns|-122.08775681055809|37.4001207752697|5
Jo Christiaans|-122.10496238654675|37.41987160012668|3
Brodie Cornish|-122.06820102326452|37.38893282323857|0
Jacob Crawford|-122.06995889205501|37.389337860083224|4
Matt Damon|-122.08422592428825|37.414005957109815|2
Melissa Dawe|-122.09146556378242|37.419506122632754|0
Cameron Dean|-122.10205720459037|37.3782438298609|5
Suzanne Dervish-Ali|-122.09834290761125|37.381430814559536|1
Liam Hop Yek Dodds|-122.08176353326594|37.396708079203464|0
Liam Donnelly|-122.090624546669|37.369060314799334|1
Sasha Dulics|-122.09138144564743|37.37634304294464|2
Aimee Duroux|-122.09690271866332|37.379039667404264|4
Simon Durrell|-122.07564276593588|37.40729031364774|3
Shinaed Evans|-122.06212740716818|37.38318804433355|2
Tracie Filmer|-122.0588124994215|37.39422571626954|2
Sean Edward Frazer|-122.08736103829938|37.41220387553077|0
Daniel Goodwin|-122.05706671390853|37.38243591252587|2
Adam Green|-122.07068046522097|37.37371265350437|4
Charles Green|-122.0858444874904|37.400259344040826|2
Dylan Kai Harris|-122.08048726245418|37.37715349150374|5
Roberto Harrison|-122.10718202997279|37.38441134187492|1
Tahlia Jade Holt|-122.07505737692986|37.39990724958796|3
Bobby Hoskins|-122.09406486204689|37.37940022208743|5
Apollo Jackson|-122.07980784744734|37.376848583028185|1
Cale Kampers|-122.07039178400026|37.41244278586766|0
Dean Kenny|-122.0620742296272|37.379785756992845|3
Joel Knights|-122.0927565097701|37.37134350070515|0
David Knijnenburg|-122.1116603123211|37.38093041650172|2
Stephanie Kutty|-122.08878638739017|37.39088704901748|1
Demetri Landell|-122.08942024639906|37.42462770449553|2
Liz Hope Layton|-122.05869920628824|37.40340090623952|5
Stan Lee|-122.1076637507901|37.408758095594294|4
Braden Lewis|-122.09869132793713|37.37333670169748|2
Jordan Lewis|-122.06813992019838|37.40237943725183|2
Dan Logovik|-122.09941665530788|37.3707313232781|1
Steven Lunavich|-122.06134842545804|37.377772262352764|3
Alexandra MacDonald|-122.08576228200681|37.38417761774741|5
Georgia Mae|-122.06447152466919|37.409894500335945|4
Mervyn Marriott|-122.0614815195838|37.420228949226804|1
Tracey Lee Maxwell|-122.0976164315672|37.374462296248694|5
Mollie McGregor|-122.06830833171412|37.36929335539368|1
Sophia McGregor|-122.08726052172211|37.41244694535304|3
Andrew S. McMillan|-122.10294867436855|37.423398624571526|0
Declan McMurray|-122.08841210409383|37.37682220830073|0
Abhishek Mehta|-122.0973039804066|37.37489392133167|4
Anthony Miller|-122.09018790554923|37.42322898478382|5
Paris Moletti|-122.09192075759246|37.38676940517944|5
Sam Monaghan|-122.10499153121923|37.41809339939461|4
Gideon Mzembe|-122.1073532333485|37.38963651603951|1
Winnie Mzembe|-122.08706003192374|37.37358423357879|5
Jip Panosot|-122.07391959872561|37.42442552792051|4
Kai Pantano|-122.10228269144082|37.40547187661228|3
Anna Patch|-122.09982133081643|37.418704005819706|0
Samuel Peacock|-122.10044406145305|37.400373893897545|1
Erin Hayley Powell|-122.09218007686769|37.37177362965509|5
Jon Quested|-122.09961914529251|37.38688056567188|1
Stephanie Riggio|-122.10795578522176|37.38400962112049|1
